case:concept:name,concept:name,time:timestamp
1,clickCreate,2024-06-07 21:34:25.493914+00:00
1,wait the menu,2024-06-07 21:34:30.860681+00:00
1,click on menu,2024-06-07 21:34:30.884244+00:00
1,insertName,2024-06-07 21:34:51.990133+00:00
1,insertCategory,2024-06-07 21:35:11.109292+00:00
1,selectReport,2024-06-07 21:35:11.114292+00:00
1,ctrl,2024-06-07 21:35:14.842800+00:00
1,wrongState,2024-06-07 21:35:15.926957+00:00
1,insertName,2024-06-07 21:35:28.609167+00:00
1,selectBusinessStrategies,2024-06-07 21:35:53.002791+00:00
1,insertType,2024-06-07 21:35:57.614251+00:00
1,insertTarget,2024-06-07 21:36:02.645279+00:00
1,clickSaveChanges,2024-06-07 21:36:04.417001+00:00
1,thEnd,2024-06-07 21:36:05.661842+00:00
1,selectGoals,2024-06-07 21:36:05.666842+00:00
1,selectCheckboxes,2024-06-07 21:36:11.051617+00:00
1,Edit Goals next,2024-06-07 21:36:19.811797+00:00
1,Assign,2024-06-07 21:36:22.759635+00:00
1,backToTable,2024-06-07 21:36:24.575457+00:00
1,selectReport,2024-06-07 21:36:24.585457+00:00
1,clickCreate,2024-06-07 21:36:24.590457+00:00
1,wait the menu,2024-06-07 21:36:30.913318+00:00
1,click on menu,2024-06-07 21:36:30.928824+00:00
1,insertName,2024-06-07 21:36:35.208026+00:00
1,insertCategory,2024-06-07 21:37:23.497781+00:00
1,selectGoals,2024-06-07 21:38:30.909972+00:00
1,selectCheckboxes,2024-06-07 21:38:34.599473+00:00
1,Edit Goals next,2024-06-07 21:38:37.219105+00:00
1,Assign,2024-06-07 21:38:38.339976+00:00
1,backToTable,2024-06-07 21:38:40.103706+00:00
1,ctrl,2024-06-07 21:38:40.108706+00:00
1,wrongState,2024-06-07 21:38:41.200429+00:00
1,insertName,2024-06-07 21:39:05.716145+00:00
1,selectBusinessStrategies,2024-06-07 21:39:13.540673+00:00
1,insertType,2024-06-07 21:39:46.703419+00:00
1,insertTarget,2024-06-07 21:39:47.849961+00:00
1,clickSaveChanges,2024-06-07 21:39:52.679201+00:00
1,thEnd,2024-06-07 21:39:56.589239+00:00
1,selectReport,2024-06-07 21:39:56.599239+00:00
1,ctrl,2024-06-07 21:40:00.327747+00:00
1,wrongState,2024-06-07 21:40:01.411904+00:00
1,insertName,2024-06-07 21:40:14.094114+00:00
1,selectBusinessStrategies,2024-06-07 21:40:38.487738+00:00
1,insertType,2024-06-07 21:40:43.099198+00:00
1,insertTarget,2024-06-07 21:40:48.130226+00:00
1,clickSaveChanges,2024-06-07 21:40:49.901948+00:00
1,clickCreate,2024-06-07 21:40:49.906948+00:00
1,wait the menu,2024-06-07 21:40:55.200314+00:00
1,click on menu,2024-06-07 21:40:55.215776+00:00
1,insertName,2024-06-07 21:41:54.669698+00:00
1,insertCategory,2024-06-07 21:42:36.012903+00:00
1,selectGoals,2024-06-07 22:00:17.479186+00:00
1,selectCheckboxes,2024-06-07 22:00:28.910624+00:00
1,Edit Goals next,2024-06-07 22:00:39.092599+00:00
1,Assign,2024-06-07 22:00:55.972679+00:00
1,backToTable,2024-06-07 22:01:27.785017+00:00
1,thEnd,2024-06-07 22:01:27.790017+00:00
1,clickCreate,2024-06-07 22:01:27.800017+00:00
1,wait the menu,2024-06-07 22:01:32.957254+00:00
1,selectReport,2024-06-07 22:01:32.962254+00:00
1,ctrl,2024-06-07 22:01:36.690762+00:00
1,wrongState,2024-06-07 22:01:37.774919+00:00
1,insertName,2024-06-07 22:01:50.457129+00:00
