case:concept:name,concept:name,time:timestamp
1,insertName,2024-06-07 21:34:25.493914+00:00
1,selectBusinessStrategies,2024-06-07 21:34:32.203093+00:00
1,insertType,2024-06-07 21:34:33.838105+00:00
1,insertTarget,2024-06-07 21:34:36.263653+00:00
1,clickSaveChanges,2024-06-07 21:34:39.623525+00:00
1,insertName,2024-06-07 21:34:39.628525+00:00
1,insertCategory,2024-06-07 21:34:57.829127+00:00
1,selectBusinessStrategies,2024-06-07 21:35:34.878743+00:00
1,selectGoals,2024-06-07 21:41:24.894975+00:00
1,selectCheckboxes,2024-06-07 21:41:31.977531+00:00
1,Edit Goals next,2024-06-07 21:41:43.101565+00:00
1,Assign,2024-06-07 21:41:47.128022+00:00
1,backToTable,2024-06-07 21:41:50.195671+00:00
1,thEnd,2024-06-07 21:41:50.200671+00:00
1,insertName,2024-06-07 21:41:50.210671+00:00
1,insertCategory,2024-06-07 21:42:17.728177+00:00
1,selectBusinessStrategies,2024-06-07 21:42:19.701562+00:00
1,selectGoals,2024-06-07 21:45:39.252935+00:00
1,selectCheckboxes,2024-06-07 21:45:43.918643+00:00
1,insertName,2024-06-07 21:45:43.923643+00:00
1,selectBusinessStrategies,2024-06-07 21:45:47.510383+00:00
1,insertType,2024-06-07 21:45:48.510807+00:00
1,insertTarget,2024-06-07 21:45:49.353245+00:00
1,clickSaveChanges,2024-06-07 21:45:51.385570+00:00
1,thEnd,2024-06-07 21:45:53.150135+00:00
1,Edit Goals next,2024-06-07 21:45:53.155135+00:00
1,Assign,2024-06-07 21:45:55.166034+00:00
1,backToTable,2024-06-07 21:45:56.575067+00:00
1,insertName,2024-06-07 21:45:56.585067+00:00
1,insertCategory,2024-06-07 21:46:28.182982+00:00
1,selectBusinessStrategies,2024-06-07 21:48:28.610455+00:00
1,selectGoals,2024-06-07 21:48:37.753292+00:00
1,selectCheckboxes,2024-06-07 21:48:42.188016+00:00
1,insertName,2024-06-07 21:48:42.193016+00:00
1,selectBusinessStrategies,2024-06-07 21:48:53.198867+00:00
1,insertType,2024-06-07 21:48:54.517773+00:00
1,insertTarget,2024-06-07 21:48:56.261296+00:00
1,clickSaveChanges,2024-06-07 21:48:59.333115+00:00
1,thEnd,2024-06-07 21:49:00.586980+00:00
1,Edit Goals next,2024-06-07 21:49:00.591980+00:00
1,Assign,2024-06-07 21:49:02.765976+00:00
1,backToTable,2024-06-07 21:49:06.101407+00:00
1,insertName,2024-06-07 21:49:06.111407+00:00
1,selectBusinessStrategies,2024-06-07 21:49:46.563442+00:00
1,insertType,2024-06-07 21:49:47.645899+00:00
1,insertName,2024-06-07 21:49:47.650899+00:00
1,insertCategory,2024-06-07 21:50:01.051592+00:00
1,selectBusinessStrategies,2024-06-07 21:52:12.789458+00:00
1,selectGoals,2024-06-07 21:52:19.136295+00:00
1,selectCheckboxes,2024-06-07 21:52:22.071949+00:00
1,Edit Goals next,2024-06-07 21:52:29.778584+00:00
1,Assign,2024-06-07 21:52:32.272412+00:00
1,backToTable,2024-06-07 21:52:33.721321+00:00
1,insertTarget,2024-06-07 21:52:33.726321+00:00
1,clickSaveChanges,2024-06-07 21:52:35.816927+00:00
1,thEnd,2024-06-07 21:52:38.798387+00:00
1,insertName,2024-06-07 21:52:38.808387+00:00
1,selectBusinessStrategies,2024-06-07 21:52:43.178546+00:00
1,insertType,2024-06-07 21:52:47.648646+00:00
1,insertName,2024-06-07 21:52:47.653646+00:00
1,insertCategory,2024-06-07 21:53:15.171152+00:00
1,selectBusinessStrategies,2024-06-07 21:53:17.144537+00:00
1,selectGoals,2024-06-07 21:56:36.695910+00:00
1,selectCheckboxes,2024-06-07 21:56:41.361618+00:00
1,Edit Goals next,2024-06-07 21:56:47.961679+00:00
1,Assign,2024-06-07 21:56:49.972578+00:00
1,backToTable,2024-06-07 21:56:51.381611+00:00
1,insertTarget,2024-06-07 21:56:51.386611+00:00
1,clickSaveChanges,2024-06-07 21:56:52.422611+00:00
1,thEnd,2024-06-07 21:56:53.799140+00:00
1,insertName,2024-06-07 21:56:53.809140+00:00
1,selectBusinessStrategies,2024-06-07 21:57:00.983883+00:00
1,insertType,2024-06-07 21:57:13.302850+00:00
1,insertTarget,2024-06-07 21:57:14.777701+00:00
1,insertName,2024-06-07 21:57:14.782701+00:00
1,insertCategory,2024-06-07 21:57:28.183394+00:00
1,selectBusinessStrategies,2024-06-07 21:59:39.921260+00:00
1,selectGoals,2024-06-07 21:59:46.268097+00:00
1,selectCheckboxes,2024-06-07 21:59:49.203751+00:00
1,Edit Goals next,2024-06-07 21:59:56.910386+00:00
1,Assign,2024-06-07 21:59:59.404214+00:00
