case:concept:name,concept:name,time:timestamp
1,step1,2024-06-07 21:34:25.493914+00:00
1,step2,2024-06-07 21:35:05.516128+00:00
1,step,2024-06-07 21:35:34.323172+00:00
1,step1,2024-06-07 21:35:34.328172+00:00
1,step2,2024-06-07 21:35:39.842147+00:00
1,step,2024-06-07 21:36:02.792011+00:00
1,step4,2024-06-07 21:36:02.815376+00:00
1,step,2024-06-07 21:36:54.074092+00:00
1,step,2024-06-07 21:36:54.075069+00:00
1,step,2024-06-07 22:03:40.332995+00:00
1,step,2024-06-07 22:03:40.337995+00:00
1,step,2024-06-07 22:03:40.464534+00:00
1,step,2024-06-07 22:03:40.576888+00:00
1,step5,2024-06-07 22:04:43.669460+00:00
1,step1,2024-06-07 22:04:43.679460+00:00
1,step2,2024-06-07 22:04:49.467322+00:00
1,step,2024-06-07 22:05:28.229293+00:00
1,step1,2024-06-07 22:05:28.234293+00:00
1,step2,2024-06-07 22:05:29.472519+00:00
1,step,2024-06-07 22:05:32.425071+00:00
1,step,2024-06-07 22:05:32.448745+00:00
1,step,2024-06-07 22:05:32.489886+00:00
1,step,2024-06-07 22:05:32.530321+00:00
1,step5,2024-06-07 22:05:59.633973+00:00
1,step4,2024-06-07 22:05:59.638973+00:00
1,step,2024-06-07 22:06:35.231926+00:00
1,step,2024-06-07 22:06:35.233683+00:00
1,step,2024-06-07 22:09:37.586718+00:00
1,step1,2024-06-07 22:09:37.596718+00:00
1,step2,2024-06-07 22:09:48.190546+00:00
1,step,2024-06-07 22:09:58.098820+00:00
1,step1,2024-06-07 22:09:58.103820+00:00
1,step2,2024-06-07 22:10:03.891682+00:00
1,step,2024-06-07 22:10:42.653653+00:00
1,step4,2024-06-07 22:10:42.655310+00:00
1,step,2024-06-07 22:11:18.248263+00:00
1,step,2024-06-07 22:11:18.250020+00:00
1,step,2024-06-07 22:14:20.603055+00:00
1,step,2024-06-07 22:14:20.608055+00:00
1,step,2024-06-07 22:14:20.621700+00:00
1,step,2024-06-07 22:14:20.622357+00:00
1,step5,2024-06-07 22:14:34.118680+00:00
1,step1,2024-06-07 22:14:34.128680+00:00
