case:concept:name,concept:name,time:timestamp
1,selectReport,2024-06-07 21:34:25.493914+00:00
1,ctrl,2024-06-07 21:34:27.014129+00:00
1,wrongState,2024-06-07 21:34:28.056247+00:00
1,clickAddNew,2024-06-07 21:35:38.191172+00:00
1,insertName_1,2024-06-07 21:35:43.064134+00:00
1,selectBusinessStrategies_1,2024-06-07 21:35:49.402686+00:00
1,insertType,2024-06-07 21:35:51.203187+00:00
1,insertTarget,2024-06-07 21:35:52.248599+00:00
1,clickCreate,2024-06-07 21:35:52.253599+00:00
1,wait the menu,2024-06-07 21:35:56.957764+00:00
1,click on menu,2024-06-07 21:35:56.979571+00:00
1,insertName_2,2024-06-07 21:35:58.578924+00:00
1,insertCategory,2024-06-07 21:36:03.335237+00:00
1,selectBusinessStrategies_2,2024-06-07 21:36:08.237353+00:00
1,selectGoals,2024-06-07 21:36:30.806177+00:00
1,selectCheckboxes,2024-06-07 21:36:33.692616+00:00
1,Edit Goals next,2024-06-07 21:37:20.411704+00:00
1,Assign,2024-06-07 21:37:22.210078+00:00
1,backToTable,2024-06-07 21:37:23.999907+00:00
1,clickSaveChanges,2024-06-07 21:37:24.004907+00:00
1,thEnd,2024-06-07 21:37:25.379500+00:00
1,selectReport,2024-06-07 21:37:25.389500+00:00
1,ctrl,2024-06-07 21:37:27.107115+00:00
1,wrongState,2024-06-07 21:37:28.189255+00:00
1,clickAddNew,2024-06-07 21:37:43.009937+00:00
1,insertName_1,2024-06-07 21:43:03.419551+00:00
1,selectBusinessStrategies_1,2024-06-07 21:43:44.431437+00:00
1,insertType,2024-06-07 21:43:51.297237+00:00
1,insertTarget,2024-06-07 21:43:57.042695+00:00
1,clickCreate,2024-06-07 21:43:57.047695+00:00
1,wait the menu,2024-06-07 21:44:00.655216+00:00
1,click on menu,2024-06-07 21:44:00.669209+00:00
1,insertName_2,2024-06-07 21:46:06.096776+00:00
1,insertCategory,2024-06-07 21:46:15.465479+00:00
1,selectBusinessStrategies_2,2024-06-07 21:46:38.254279+00:00
1,selectGoals,2024-06-07 21:46:50.506109+00:00
1,selectCheckboxes,2024-06-07 21:46:54.741354+00:00
1,Edit Goals next,2024-06-07 21:46:59.719339+00:00
1,Assign,2024-06-07 21:47:01.087988+00:00
1,backToTable,2024-06-07 21:47:02.108863+00:00
1,clickSaveChanges,2024-06-07 21:47:02.113863+00:00
1,thEnd,2024-06-07 21:47:10.372620+00:00
1,selectReport,2024-06-07 21:47:10.382620+00:00
1,ctrl,2024-06-07 21:47:12.100235+00:00
1,wrongState,2024-06-07 21:47:13.182375+00:00
1,clickAddNew,2024-06-07 21:47:28.003057+00:00
1,insertName_1,2024-06-07 21:52:48.412671+00:00
1,selectBusinessStrategies_1,2024-06-07 21:53:29.424557+00:00
1,clickCreate,2024-06-07 21:53:29.429557+00:00
1,wait the menu,2024-06-07 21:53:33.037078+00:00
1,click on menu,2024-06-07 21:53:33.051071+00:00
1,insertName_2,2024-06-07 21:55:38.478638+00:00
1,insertCategory,2024-06-07 21:55:47.847341+00:00
1,selectBusinessStrategies_2,2024-06-07 21:56:10.636141+00:00
1,selectGoals,2024-06-07 21:56:22.887971+00:00
1,selectCheckboxes,2024-06-07 21:56:27.123216+00:00
1,Edit Goals next,2024-06-07 21:56:32.101201+00:00
1,Assign,2024-06-07 21:56:33.469850+00:00
1,backToTable,2024-06-07 21:56:34.490725+00:00
1,insertType,2024-06-07 21:56:34.495725+00:00
1,insertTarget,2024-06-07 21:56:40.241183+00:00
1,clickSaveChanges,2024-06-07 21:56:44.230743+00:00
1,thEnd,2024-06-07 21:56:52.489500+00:00
1,clickCreate,2024-06-07 21:56:52.499500+00:00
1,wait the menu,2024-06-07 21:56:56.107021+00:00
1,click on menu,2024-06-07 21:56:56.121014+00:00
1,insertName_2,2024-06-07 21:59:01.548581+00:00
1,selectReport,2024-06-07 21:59:01.553581+00:00
1,ctrl,2024-06-07 21:59:03.073796+00:00
1,wrongState,2024-06-07 21:59:04.115914+00:00
1,clickAddNew,2024-06-07 22:00:14.250839+00:00
1,insertName_1,2024-06-07 22:00:19.123801+00:00
1,selectBusinessStrategies_1,2024-06-07 22:00:25.462353+00:00
1,insertType,2024-06-07 22:00:27.262854+00:00
1,insertTarget,2024-06-07 22:00:28.308266+00:00
1,clickSaveChanges,2024-06-07 22:00:30.620458+00:00
1,thEnd,2024-06-07 22:00:31.995051+00:00
1,insertCategory,2024-06-07 22:00:32.000051+00:00
1,selectBusinessStrategies_2,2024-06-07 22:00:54.788851+00:00
1,selectGoals,2024-06-07 22:01:07.040681+00:00
1,selectCheckboxes,2024-06-07 22:01:11.275926+00:00
1,Edit Goals next,2024-06-07 22:01:16.253911+00:00
1,Assign,2024-06-07 22:01:17.622560+00:00
1,backToTable,2024-06-07 22:01:18.643435+00:00
1,selectReport,2024-06-07 22:01:18.653435+00:00
1,ctrl,2024-06-07 22:01:20.173650+00:00
1,wrongState,2024-06-07 22:01:21.215768+00:00
1,clickCreate,2024-06-07 22:01:21.220768+00:00
1,wait the menu,2024-06-07 22:01:24.828289+00:00
1,click on menu,2024-06-07 22:01:24.842282+00:00
1,insertName_2,2024-06-07 22:03:30.269849+00:00
1,insertCategory,2024-06-07 22:03:39.638552+00:00
1,selectBusinessStrategies_2,2024-06-07 22:04:02.427352+00:00
1,selectGoals,2024-06-07 22:04:14.679182+00:00
1,selectCheckboxes,2024-06-07 22:04:18.914427+00:00
1,Edit Goals next,2024-06-07 22:04:23.892412+00:00
1,Assign,2024-06-07 22:04:25.261061+00:00
1,backToTable,2024-06-07 22:04:26.281936+00:00
1,clickAddNew,2024-06-07 22:04:26.286936+00:00
1,insertName_1,2024-06-07 22:04:31.159898+00:00
1,selectBusinessStrategies_1,2024-06-07 22:04:37.498450+00:00
1,insertType,2024-06-07 22:04:39.298951+00:00
1,insertTarget,2024-06-07 22:04:40.344363+00:00
1,clickSaveChanges,2024-06-07 22:04:42.656555+00:00
1,thEnd,2024-06-07 22:04:44.031148+00:00
1,selectReport,2024-06-07 22:04:44.041148+00:00
1,clickCreate,2024-06-07 22:04:44.046148+00:00
1,wait the menu,2024-06-07 22:04:48.750313+00:00
1,click on menu,2024-06-07 22:04:48.772120+00:00
1,insertName_2,2024-06-07 22:04:50.371473+00:00
1,insertCategory,2024-06-07 22:04:55.127786+00:00
1,selectBusinessStrategies_2,2024-06-07 22:05:00.029902+00:00
1,selectGoals,2024-06-07 22:05:22.598726+00:00
1,selectCheckboxes,2024-06-07 22:05:25.485165+00:00
1,Edit Goals next,2024-06-07 22:06:12.204253+00:00
1,Assign,2024-06-07 22:06:14.002627+00:00
1,backToTable,2024-06-07 22:06:15.792456+00:00
1,ctrl,2024-06-07 22:06:15.797456+00:00
1,wrongState,2024-06-07 22:06:16.879596+00:00
1,clickAddNew,2024-06-07 22:06:31.700278+00:00
1,insertName_1,2024-06-07 22:11:52.109892+00:00
1,selectBusinessStrategies_1,2024-06-07 22:12:33.121778+00:00
1,insertType,2024-06-07 22:12:39.987578+00:00
1,insertTarget,2024-06-07 22:12:45.733036+00:00
1,clickSaveChanges,2024-06-07 22:12:49.722596+00:00
1,thEnd,2024-06-07 22:12:57.981353+00:00
1,clickCreate,2024-06-07 22:12:57.991353+00:00
1,wait the menu,2024-06-07 22:13:01.598874+00:00
1,selectReport,2024-06-07 22:13:01.603874+00:00
1,ctrl,2024-06-07 22:13:03.321489+00:00
1,wrongState,2024-06-07 22:13:04.403629+00:00
1,clickAddNew,2024-06-07 22:13:19.224311+00:00
1,insertName_1,2024-06-07 22:18:39.633925+00:00
1,selectBusinessStrategies_1,2024-06-07 22:19:20.645811+00:00
1,insertType,2024-06-07 22:19:27.511611+00:00
1,insertTarget,2024-06-07 22:19:33.257069+00:00
1,clickSaveChanges,2024-06-07 22:19:37.246629+00:00
1,thEnd,2024-06-07 22:19:45.505386+00:00
1,click on menu,2024-06-07 22:19:45.510386+00:00
1,insertName_2,2024-06-07 22:21:50.937953+00:00
1,insertCategory,2024-06-07 22:22:00.306656+00:00
1,selectBusinessStrategies_2,2024-06-07 22:22:23.095456+00:00
1,selectGoals,2024-06-07 22:22:35.347286+00:00
1,selectCheckboxes,2024-06-07 22:22:39.582531+00:00
1,Edit Goals next,2024-06-07 22:22:44.560516+00:00
1,Assign,2024-06-07 22:22:45.929165+00:00
1,backToTable,2024-06-07 22:22:46.950040+00:00
1,clickCreate,2024-06-07 22:22:46.960040+00:00
1,wait the menu,2024-06-07 22:22:51.664205+00:00
1,click on menu,2024-06-07 22:22:51.686012+00:00
1,insertName_2,2024-06-07 22:22:53.285365+00:00
1,insertCategory,2024-06-07 22:22:58.041678+00:00
1,selectReport,2024-06-07 22:22:58.046678+00:00
1,ctrl,2024-06-07 22:22:59.764293+00:00
1,wrongState,2024-06-07 22:23:00.846433+00:00
1,clickAddNew,2024-06-07 22:23:15.667115+00:00
1,insertName_1,2024-06-07 22:28:36.076729+00:00
1,selectBusinessStrategies_1,2024-06-07 22:29:17.088615+00:00
1,insertType,2024-06-07 22:29:23.954415+00:00
1,insertTarget,2024-06-07 22:29:29.699873+00:00
1,clickSaveChanges,2024-06-07 22:29:33.689433+00:00
1,thEnd,2024-06-07 22:29:41.948190+00:00
1,selectBusinessStrategies_2,2024-06-07 22:29:41.953190+00:00
1,selectGoals,2024-06-07 22:30:04.522014+00:00
1,selectCheckboxes,2024-06-07 22:30:07.408453+00:00
1,Edit Goals next,2024-06-07 22:30:54.127541+00:00
1,Assign,2024-06-07 22:30:55.925915+00:00
1,backToTable,2024-06-07 22:30:57.715744+00:00
1,selectReport,2024-06-07 22:30:57.725744+00:00
1,ctrl,2024-06-07 22:30:59.443359+00:00
1,wrongState,2024-06-07 22:31:00.525499+00:00
1,clickAddNew,2024-06-07 22:31:15.346181+00:00
1,insertName_1,2024-06-07 22:36:35.755795+00:00
1,selectBusinessStrategies_1,2024-06-07 22:37:16.767681+00:00
1,insertType,2024-06-07 22:37:23.633481+00:00
1,clickCreate,2024-06-07 22:37:23.638481+00:00
1,wait the menu,2024-06-07 22:37:27.246002+00:00
1,click on menu,2024-06-07 22:37:27.259995+00:00
1,insertName_2,2024-06-07 22:39:32.687562+00:00
1,insertCategory,2024-06-07 22:39:42.056265+00:00
1,selectBusinessStrategies_2,2024-06-07 22:40:04.845065+00:00
1,selectGoals,2024-06-07 22:40:17.096895+00:00
1,selectCheckboxes,2024-06-07 22:40:21.332140+00:00
1,Edit Goals next,2024-06-07 22:40:26.310125+00:00
1,Assign,2024-06-07 22:40:27.678774+00:00
1,backToTable,2024-06-07 22:40:28.699649+00:00
1,insertTarget,2024-06-07 22:40:28.704649+00:00
1,clickSaveChanges,2024-06-07 22:40:32.694209+00:00
1,thEnd,2024-06-07 22:40:40.952966+00:00
1,selectReport,2024-06-07 22:40:40.962966+00:00
1,ctrl,2024-06-07 22:40:42.680581+00:00
1,clickCreate,2024-06-07 22:40:42.685581+00:00
1,wait the menu,2024-06-07 22:40:46.293102+00:00
1,click on menu,2024-06-07 22:40:46.307095+00:00
1,insertName_2,2024-06-07 22:42:51.734662+00:00
1,insertCategory,2024-06-07 22:43:01.103365+00:00
1,selectBusinessStrategies_2,2024-06-07 22:43:23.892165+00:00
1,selectGoals,2024-06-07 22:43:36.143995+00:00
1,selectCheckboxes,2024-06-07 22:43:40.379240+00:00
1,Edit Goals next,2024-06-07 22:43:45.357225+00:00
1,Assign,2024-06-07 22:43:46.725874+00:00
