case:concept:name,concept:name,time:timestamp
1,clickCreate_1,2024-06-07 21:34:25.493914+00:00
1,wait the menu_1,2024-06-07 21:34:30.198079+00:00
1,click on menu_1,2024-06-07 21:34:30.219886+00:00
1,insertName_1,2024-06-07 21:34:31.819239+00:00
1,insertCategory_1,2024-06-07 21:34:36.575552+00:00
1,selectBusinessStrategies_1,2024-06-07 21:34:41.477668+00:00
1,clickCreate_1,2024-06-07 21:34:41.482668+00:00
1,wait the menu_1,2024-06-07 21:34:46.371411+00:00
1,click on menu_1,2024-06-07 21:34:46.394396+00:00
1,insertName_1,2024-06-07 21:34:47.190509+00:00
1,insertCategory_1,2024-06-07 21:34:51.328416+00:00
1,step_1,2024-06-07 21:34:51.333416+00:00
1,step_1,2024-06-07 21:34:53.210545+00:00
1,step_1,2024-06-07 21:35:04.816503+00:00
1,step_2,2024-06-07 21:35:04.854382+00:00
1,step_2,2024-06-07 21:35:04.898180+00:00
1,step_2,2024-06-07 21:35:04.937395+00:00
1,selectBusinessStrategies_2,2024-06-07 21:35:04.942395+00:00
1,insertType,2024-06-07 21:35:07.696530+00:00
1,insertTarget,2024-06-07 21:35:09.756811+00:00
1,clickSaveChanges,2024-06-07 21:35:12.871687+00:00
1,cliclClose,2024-06-07 21:35:13.784294+00:00
1,clickAssignReal,2024-06-07 21:35:16.544402+00:00
1,selectGoals,2024-06-07 21:35:16.549402+00:00
1,selectCheckboxes,2024-06-07 21:35:19.435841+00:00
1,Edit Goals next,2024-06-07 21:36:06.154929+00:00
1,Assign,2024-06-07 21:36:07.953303+00:00
1,backToTable,2024-06-07 21:36:09.743132+00:00
1,clickCreate_1,2024-06-07 21:36:09.753132+00:00
1,wait the menu_1,2024-06-07 21:36:17.897026+00:00
1,click on menu_1,2024-06-07 21:36:17.910472+00:00
1,insertName_1,2024-06-07 21:37:53.938145+00:00
1,insertCategory_1,2024-06-07 21:38:03.394384+00:00
1,step_1,2024-06-07 21:38:03.399384+00:00
1,step_3,2024-06-07 21:38:05.593973+00:00
1,clickCreate_1,2024-06-07 21:38:05.598973+00:00
1,wait the menu_1,2024-06-07 21:38:09.206494+00:00
1,click on menu_1,2024-06-07 21:38:09.220487+00:00
1,insertName_1,2024-06-07 21:40:14.648054+00:00
1,insertCategory_1,2024-06-07 21:40:24.016757+00:00
1,selectBusinessStrategies_1,2024-06-07 21:40:46.805557+00:00
1,selectGoals,2024-06-07 21:40:59.057387+00:00
1,selectCheckboxes,2024-06-07 21:41:03.292632+00:00
1,Edit Goals next,2024-06-07 21:41:08.270617+00:00
1,Assign,2024-06-07 21:41:09.639266+00:00
1,backToTable,2024-06-07 21:41:10.660141+00:00
1,step_1,2024-06-07 21:41:10.665141+00:00
1,step_2,2024-06-07 21:41:10.744756+00:00
1,step_2,2024-06-07 21:41:10.816007+00:00
1,step_2,2024-06-07 21:41:10.894398+00:00
1,selectBusinessStrategies_2,2024-06-07 21:41:10.899398+00:00
1,insertType,2024-06-07 21:41:11.895447+00:00
1,insertTarget,2024-06-07 21:41:13.583116+00:00
1,clickSaveChanges,2024-06-07 21:41:14.984788+00:00
1,cliclClose,2024-06-07 21:41:16.632132+00:00
1,clickAssignReal,2024-06-07 21:41:20.603147+00:00
1,clickCreate_1,2024-06-07 21:41:20.613147+00:00
1,wait the menu_1,2024-06-07 21:41:26.444450+00:00
1,click on menu_1,2024-06-07 21:41:26.463139+00:00
1,insertName_1,2024-06-07 21:41:56.122202+00:00
1,insertCategory_1,2024-06-07 21:42:44.633872+00:00
1,selectBusinessStrategies_1,2024-06-07 21:43:55.453308+00:00
1,clickCreate_1,2024-06-07 21:43:55.458308+00:00
1,wait the menu_1,2024-06-07 21:43:59.065829+00:00
1,click on menu_1,2024-06-07 21:43:59.079822+00:00
1,insertName_1,2024-06-07 21:46:04.507389+00:00
1,insertCategory_1,2024-06-07 21:46:13.876092+00:00
1,selectBusinessStrategies_1,2024-06-07 21:46:36.664892+00:00
1,selectGoals,2024-06-07 21:46:48.916722+00:00
1,step_1,2024-06-07 21:46:48.921722+00:00
1,step_1,2024-06-07 21:46:51.525302+00:00
1,step_2,2024-06-07 21:46:55.319610+00:00
1,step_2,2024-06-07 21:46:55.348202+00:00
1,step_2,2024-06-07 21:46:55.394291+00:00
1,step_2,2024-06-07 21:46:55.412313+00:00
1,selectCheckboxes,2024-06-07 21:46:55.417313+00:00
1,Edit Goals next,2024-06-07 21:47:00.395298+00:00
1,Assign,2024-06-07 21:47:01.763947+00:00
1,backToTable,2024-06-07 21:47:02.784822+00:00
1,insertType,2024-06-07 21:47:02.789822+00:00
1,insertTarget,2024-06-07 21:47:05.304877+00:00
1,clickSaveChanges,2024-06-07 21:47:06.740063+00:00
1,cliclClose,2024-06-07 21:47:08.382452+00:00
1,clickAssignReal,2024-06-07 21:54:38.203713+00:00
1,clickCreate_1,2024-06-07 21:54:38.213713+00:00
1,wait the menu_1,2024-06-07 21:54:41.821234+00:00
1,click on menu_1,2024-06-07 21:54:41.835227+00:00
1,insertName_1,2024-06-07 21:56:47.262794+00:00
1,clickCreate_1,2024-06-07 21:56:47.267794+00:00
1,wait the menu_1,2024-06-07 21:56:52.848798+00:00
1,click on menu_1,2024-06-07 21:56:52.875262+00:00
1,insertName_1,2024-06-07 21:57:09.356079+00:00
1,insertCategory_1,2024-06-07 21:57:24.203255+00:00
1,selectBusinessStrategies_1,2024-06-07 21:57:44.405300+00:00
1,insertType,2024-06-07 21:57:45.095923+00:00
1,insertTarget,2024-06-07 21:57:46.340503+00:00
1,clickSaveChanges,2024-06-07 21:57:48.152010+00:00
1,cliclClose,2024-06-07 21:57:54.115645+00:00
1,step_1,2024-06-07 21:57:54.120645+00:00
1,step_1,2024-06-07 21:57:55.997774+00:00
1,step_2,2024-06-07 21:58:07.603732+00:00
1,step_2,2024-06-07 21:58:07.641611+00:00
1,step_2,2024-06-07 21:58:07.685409+00:00
1,step_2,2024-06-07 21:58:07.724624+00:00
1,clickAssignReal,2024-06-07 21:58:07.729624+00:00
1,insertCategory_2,2024-06-07 21:58:07.734624+00:00
1,selectBusinessStrategies_3,2024-06-07 21:58:30.523424+00:00
1,selectGoals,2024-06-07 21:58:42.775254+00:00
1,selectCheckboxes,2024-06-07 21:58:47.010499+00:00
1,Edit Goals next,2024-06-07 21:58:51.988484+00:00
1,Assign,2024-06-07 21:58:53.357133+00:00
1,backToTable,2024-06-07 21:58:54.378008+00:00
1,step_1,2024-06-07 21:58:54.388008+00:00
1,step_2,2024-06-07 21:58:56.582597+00:00
1,step_2,2024-06-07 21:59:04.795567+00:00
1,step_3,2024-06-07 21:59:04.875182+00:00
1,clickCreate_1,2024-06-07 21:59:04.880182+00:00
1,wait the menu_1,2024-06-07 21:59:09.584347+00:00
1,click on menu_1,2024-06-07 21:59:09.606154+00:00
1,insertName_1,2024-06-07 21:59:11.205507+00:00
1,insertCategory_1,2024-06-07 21:59:15.961820+00:00
1,selectBusinessStrategies_1,2024-06-07 21:59:20.863936+00:00
1,selectGoals,2024-06-07 21:59:43.432760+00:00
1,clickCreate_1,2024-06-07 21:59:43.437760+00:00
1,wait the menu_1,2024-06-07 21:59:48.507610+00:00
1,click on menu_1,2024-06-07 21:59:48.535884+00:00
1,insertName_1,2024-06-07 22:00:05.683507+00:00
1,insertCategory_1,2024-06-07 22:00:23.346789+00:00
1,selectBusinessStrategies_1,2024-06-07 22:00:31.966297+00:00
1,insertType,2024-06-07 22:03:56.262399+00:00
1,insertTarget,2024-06-07 22:14:14.694258+00:00
1,clickSaveChanges,2024-06-07 22:21:18.079698+00:00
1,cliclClose,2024-06-07 22:23:11.035540+00:00
1,clickAssignReal,2024-06-07 22:23:14.666754+00:00
1,selectCheckboxes,2024-06-07 22:23:14.671754+00:00
1,Edit Goals next,2024-06-07 22:24:01.390842+00:00
1,Assign,2024-06-07 22:24:03.189216+00:00
1,backToTable,2024-06-07 22:24:04.979045+00:00
1,step_1,2024-06-07 22:24:04.984045+00:00
1,step_1,2024-06-07 22:24:05.062436+00:00
1,step_2,2024-06-07 22:24:05.072436+00:00
1,step_2,2024-06-07 22:24:07.676016+00:00
1,step_2,2024-06-07 22:24:11.470324+00:00
1,step_2,2024-06-07 22:24:11.498916+00:00
1,clickCreate_2,2024-06-07 22:24:11.503916+00:00
1,wait the menu_2,2024-06-07 22:24:16.208081+00:00
1,clickCreate_1,2024-06-07 22:24:16.213081+00:00
1,wait the menu_1,2024-06-07 22:24:32.077225+00:00
1,click on menu_1,2024-06-07 22:24:32.128862+00:00
1,insertName_1,2024-06-07 22:24:41.693888+00:00
1,insertCategory_1,2024-06-07 22:28:11.499233+00:00
1,selectBusinessStrategies_1,2024-06-07 22:28:51.400157+00:00
1,insertType,2024-06-07 22:28:52.919527+00:00
1,insertTarget,2024-06-07 22:28:53.841105+00:00
1,clickSaveChanges,2024-06-07 22:28:55.249712+00:00
1,cliclClose,2024-06-07 22:28:59.019281+00:00
1,clickAssignReal,2024-06-07 22:31:11.291316+00:00
1,click on menu_1,2024-06-07 22:31:11.296316+00:00
1,insertName_1,2024-06-07 22:31:12.895669+00:00
1,insertCategory_1,2024-06-07 22:31:17.651982+00:00
1,selectBusinessStrategies_1,2024-06-07 22:31:22.554098+00:00
1,selectGoals,2024-06-07 22:31:45.122922+00:00
1,selectCheckboxes,2024-06-07 22:31:48.009361+00:00
1,Edit Goals next,2024-06-07 22:32:34.728449+00:00
1,Assign,2024-06-07 22:32:36.526823+00:00
1,backToTable,2024-06-07 22:32:38.316652+00:00
1,step_4,2024-06-07 22:32:38.321652+00:00
1,step_3,2024-06-07 22:32:38.339674+00:00
1,clickCreate_1,2024-06-07 22:32:38.349674+00:00
1,wait the menu_1,2024-06-07 22:32:44.731637+00:00
1,click on menu_1,2024-06-07 22:32:44.759647+00:00
1,insertName_1,2024-06-07 22:33:13.442433+00:00
1,clickCreate_1,2024-06-07 22:33:13.447433+00:00
1,wait the menu_1,2024-06-07 22:33:17.054954+00:00
1,click on menu_1,2024-06-07 22:33:17.068947+00:00
1,insertName_1,2024-06-07 22:35:22.496514+00:00
1,insertCategory_1,2024-06-07 22:35:31.865217+00:00
1,selectBusinessStrategies_1,2024-06-07 22:35:54.654017+00:00
1,selectGoals,2024-06-07 22:36:06.905847+00:00
1,selectCheckboxes,2024-06-07 22:36:11.141092+00:00
1,step_1,2024-06-07 22:36:11.146092+00:00
1,step_1,2024-06-07 22:36:13.749672+00:00
1,step_2,2024-06-07 22:36:17.543980+00:00
1,step_2,2024-06-07 22:36:17.572572+00:00
1,step_2,2024-06-07 22:36:17.618661+00:00
1,step_2,2024-06-07 22:36:17.636683+00:00
1,Edit Goals next,2024-06-07 22:36:17.641683+00:00
