case:concept:name,concept:name,time:timestamp
1,insertName_1,2024-06-07 21:34:25.493914+00:00
1,insertCategory_1,2024-06-07 21:34:43.694516+00:00
1,selectBusinessStrategies_1,2024-06-07 21:35:20.744132+00:00
1,selectGoals,2024-06-07 21:41:10.760364+00:00
1,clickCreate,2024-06-07 21:41:10.765364+00:00
1,wait the menu,2024-06-07 21:41:17.069583+00:00
1,click on menu,2024-06-07 21:41:17.083370+00:00
1,search,2024-06-07 21:41:17.088370+00:00
1,click_1,2024-06-07 21:41:21.454690+00:00
1,select_sold,2024-06-07 21:41:25.033539+00:00
1,click_2,2024-06-07 21:41:26.604626+00:00
1,insert_1,2024-06-07 21:41:44.894077+00:00
1,insert_1,2024-06-07 21:44:04.252179+00:00
1,insert_search,2024-06-07 21:44:11.250209+00:00
1,insert_house,2024-06-07 21:45:07.694473+00:00
1,insert_postal,2024-06-07 21:45:49.672120+00:00
1,insert_2,2024-06-07 21:45:58.872638+00:00
1,insert_transportation_1,2024-06-07 21:46:18.640285+00:00
1,insert_3,2024-06-07 21:46:19.553716+00:00
1,insert_transportation_2,2024-06-07 21:46:31.567700+00:00
1,check_canada_1,2024-06-07 21:50:16.805772+00:00
1,check_canada_1,2024-06-07 21:50:17.256422+00:00
1,click_check,2024-06-07 21:50:17.575782+00:00
1,region,2024-06-07 21:50:45.756014+00:00
1,tax,2024-06-07 21:52:01.367941+00:00
1,tax_number_1,2024-06-07 21:52:07.564852+00:00
1,tax_number_1,2024-06-07 21:52:08.092887+00:00
1,check_riga,2024-06-07 21:52:14.565141+00:00
1,vendor_sec,2024-06-07 21:52:15.728066+00:00
1,click_new_erp_1,2024-06-07 21:52:16.921587+00:00
1,insert_customer_1,2024-06-07 21:52:36.561608+00:00
1,click_new_erp_company,2024-06-07 23:27:58.195202+00:00
1,insert_company,2024-06-07 23:28:08.569171+00:00
1,click_3,2024-06-07 23:28:14.080721+00:00
1,click_new_erp_2,2024-06-07 23:29:05.505926+00:00
1,insert_sales_1,2024-06-07 23:29:20.356807+00:00
1,insert_sales_1,2024-06-07 23:29:41.267095+00:00
1,insert_sales_2,2024-06-08 00:11:03.337006+00:00
1,insert_sales_2,2024-06-08 00:11:11.922206+00:00
1,insert_4,2024-06-08 00:11:26.406107+00:00
1,insert_4,2024-06-08 00:12:10.851573+00:00
1,insert_5,2024-06-08 02:02:31.482376+00:00
1,insert_customer_2,2024-06-08 02:10:36.768502+00:00
1,partner,2024-06-08 02:11:21.813658+00:00
1,customer,2024-06-08 02:11:45.258454+00:00
1,click_4,2024-06-08 02:13:38.418881+00:00
1,insert_sales_user,2024-06-08 02:15:01.334109+00:00
1,click_5,2024-06-08 02:15:12.785127+00:00
1,click_5,2024-06-08 02:15:31.648282+00:00
1,error,2024-06-08 02:15:32.805685+00:00
1,click_6,2024-06-08 02:15:37.481127+00:00
1,insertName_2,2024-06-08 02:15:37.486127+00:00
1,insertCategory_2,2024-06-08 02:15:45.928250+00:00
1,selectBusinessStrategies_2,2024-06-08 02:35:16.595012+00:00
1,selectCheckboxes,2024-06-08 02:35:16.600012+00:00
1,Edit Goals next,2024-06-08 02:35:27.724046+00:00
1,Assign,2024-06-08 02:35:31.750503+00:00
1,backToTable,2024-06-08 02:35:34.818152+00:00
1,search,2024-06-08 02:35:34.828152+00:00
1,click_1,2024-06-08 02:35:38.562499+00:00
1,select_sold,2024-06-08 02:35:42.622725+00:00
1,click_2,2024-06-08 02:35:44.193887+00:00
1,insert_1,2024-06-08 02:35:59.110556+00:00
1,insert_1,2024-06-08 02:36:38.250810+00:00
1,insert_search,2024-06-08 02:36:44.375840+00:00
1,insert_house,2024-06-08 02:36:52.128423+00:00
1,insert_postal,2024-06-08 02:37:34.957132+00:00
1,insert_2,2024-06-08 02:37:56.074860+00:00
1,insert_transportation_1,2024-06-08 02:38:00.442956+00:00
1,insert_3,2024-06-08 02:38:00.935659+00:00
1,insert_transportation_2,2024-06-08 02:38:04.914179+00:00
1,check_canada_1,2024-06-08 02:39:10.320623+00:00
1,check_canada_1,2024-06-08 02:39:10.664342+00:00
1,click_check,2024-06-08 02:39:11.073955+00:00
1,region,2024-06-08 02:39:26.768067+00:00
1,tax,2024-06-08 02:39:34.088979+00:00
1,tax_number_1,2024-06-08 02:39:52.590447+00:00
1,tax_number_1,2024-06-08 02:39:52.991588+00:00
1,check_riga,2024-06-08 02:40:05.053350+00:00
1,vendor_sec,2024-06-08 02:40:05.557815+00:00
1,click_new_erp_1,2024-06-08 02:40:06.003432+00:00
1,insert_customer_1,2024-06-08 02:40:21.899432+00:00
1,click_new_erp_company,2024-06-08 02:40:30.506653+00:00
1,insert_company,2024-06-08 02:40:39.854692+00:00
1,click_3,2024-06-08 02:40:43.817061+00:00
1,insertName_3,2024-06-08 02:40:43.822061+00:00
1,clickCreate,2024-06-08 02:40:43.827061+00:00
1,wait the menu,2024-06-08 02:40:47.665074+00:00
1,click on menu,2024-06-08 02:40:47.687077+00:00
1,insertName_4,2024-06-08 02:40:48.636456+00:00
1,insertCategory_3,2024-06-08 02:40:56.013763+00:00
1,selectBusinessStrategies_3,2024-06-08 02:48:41.717594+00:00
1,insertCategory_1,2024-06-08 02:48:41.722594+00:00
1,selectBusinessStrategies_4,2024-06-08 02:48:43.695979+00:00
1,selectGoals,2024-06-08 02:52:03.247352+00:00
1,selectCheckboxes,2024-06-08 02:52:07.913060+00:00
1,Edit Goals next,2024-06-08 02:52:14.513121+00:00
1,Assign,2024-06-08 02:52:16.524020+00:00
1,backToTable,2024-06-08 02:52:17.933053+00:00
1,click_new_erp_3,2024-06-08 02:52:17.938053+00:00
1,insert_sales_1,2024-06-08 02:52:25.585922+00:00
1,insert_sales_2,2024-06-08 02:52:54.396945+00:00
1,insert_sales_2,2024-06-08 02:54:34.493558+00:00
1,insert_sales_2,2024-06-08 02:54:41.166081+00:00
1,insert_4,2024-06-08 02:54:48.328524+00:00
1,insert_4,2024-06-08 02:54:53.525837+00:00
1,insert_5,2024-06-08 02:55:10.704553+00:00
1,insert_customer_2,2024-06-08 02:55:22.657309+00:00
1,partner,2024-06-08 02:57:33.961322+00:00
1,customer,2024-06-08 02:57:40.022890+00:00
1,click_4,2024-06-08 02:57:51.848861+00:00
1,insert_sales_user,2024-06-08 02:59:00.266909+00:00
1,click_5,2024-06-08 02:59:07.492173+00:00
1,click_5,2024-06-08 02:59:25.889104+00:00
1,error,2024-06-08 02:59:26.692985+00:00
1,click_6,2024-06-08 03:00:01.565689+00:00
1,insertName_2,2024-06-08 03:00:01.575689+00:00
1,insertCategory_2,2024-06-08 03:00:33.173604+00:00
1,selectBusinessStrategies_2,2024-06-08 03:02:33.601077+00:00
1,selectGoals,2024-06-08 03:02:42.743914+00:00
1,selectCheckboxes,2024-06-08 03:02:47.178638+00:00
1,search,2024-06-08 03:02:47.183638+00:00
1,click_1,2024-06-08 03:02:50.592604+00:00
1,select_sold,2024-06-08 03:02:54.190561+00:00
1,click_2,2024-06-08 03:02:56.286437+00:00
1,insert_1,2024-06-08 03:03:12.882423+00:00
1,insert_1,2024-06-08 03:03:44.821273+00:00
1,insert_search,2024-06-08 03:03:49.651376+00:00
1,insert_house,2024-06-08 03:04:00.706294+00:00
1,insert_postal,2024-06-08 03:04:16.337478+00:00
1,insert_2,2024-06-08 03:04:34.616531+00:00
1,insert_transportation_1,2024-06-08 03:04:43.237258+00:00
1,insert_3,2024-06-08 03:04:44.111004+00:00
1,insert_transportation_2,2024-06-08 03:04:49.064107+00:00
1,check_canada_1,2024-06-08 03:05:26.014085+00:00
1,check_canada_1,2024-06-08 03:05:26.401683+00:00
1,click_check,2024-06-08 03:05:26.791664+00:00
1,region,2024-06-08 03:56:30.280426+00:00
1,tax,2024-06-08 03:56:35.165011+00:00
1,tax_number_1,2024-06-08 03:56:54.938280+00:00
1,tax_number_1,2024-06-08 03:56:56.008380+00:00
1,check_riga,2024-06-08 03:57:01.387337+00:00
1,vendor_sec,2024-06-08 03:57:01.801215+00:00
1,click_new_erp_1,2024-06-08 03:57:02.513862+00:00
1,insert_customer_1,2024-06-08 03:57:18.269944+00:00
1,click_new_erp_company,2024-06-08 03:58:44.844747+00:00
1,insert_company,2024-06-08 03:59:09.531274+00:00
1,click_3,2024-06-08 03:59:12.396296+00:00
1,click_new_erp_2,2024-06-08 03:59:22.687732+00:00
1,insert_sales_1,2024-06-08 03:59:31.184926+00:00
1,insert_sales_1,2024-06-08 03:59:44.039186+00:00
1,insert_sales_2,2024-06-08 04:00:15.453174+00:00
1,insert_sales_2,2024-06-08 04:00:26.808225+00:00
1,insert_4,2024-06-08 04:00:38.312933+00:00
1,insert_4,2024-06-08 04:00:44.415085+00:00
1,insert_5,2024-06-08 04:01:02.530342+00:00
1,insert_customer_2,2024-06-08 04:01:16.456280+00:00
1,partner,2024-06-08 04:02:06.148141+00:00
1,customer,2024-06-08 04:02:10.170845+00:00
1,click_4,2024-06-08 04:02:17.298677+00:00
1,insert_sales_user,2024-06-08 04:06:50.426861+00:00
1,click_5,2024-06-08 04:06:56.839402+00:00
1,clickCreate,2024-06-08 04:06:56.844402+00:00
1,wait the menu,2024-06-08 04:07:01.982293+00:00
1,click on menu,2024-06-08 04:07:02.003314+00:00
1,insertName_4,2024-06-08 04:13:45.314415+00:00
1,insertCategory_3,2024-06-08 04:14:01.372037+00:00
1,selectBusinessStrategies_3,2024-06-08 04:14:11.614487+00:00
1,click_7,2024-06-08 04:14:11.619487+00:00
1,error,2024-06-08 04:14:16.103450+00:00
1,click_8,2024-06-08 04:14:17.732475+00:00
1,Edit Goals next,2024-06-08 04:14:17.737475+00:00
1,Assign,2024-06-08 04:14:19.911471+00:00
1,backToTable,2024-06-08 04:14:23.246902+00:00
1,clickCreate,2024-06-08 04:14:23.256902+00:00
1,search,2024-06-08 04:14:23.261902+00:00
1,click_1,2024-06-08 04:14:28.642931+00:00
1,select_sold,2024-06-08 04:15:22.333917+00:00
1,click_2,2024-06-08 04:15:25.288014+00:00
1,insert_1,2024-06-08 04:15:40.890627+00:00
1,insertName_1,2024-06-08 04:15:40.895627+00:00
1,insertCategory_1,2024-06-08 04:15:54.296320+00:00
1,selectBusinessStrategies_4,2024-06-08 04:18:06.034186+00:00
1,selectGoals,2024-06-08 04:18:12.381023+00:00
1,selectCheckboxes,2024-06-08 04:18:15.316677+00:00
1,Edit Goals next,2024-06-08 04:18:23.023312+00:00
1,Assign,2024-06-08 04:18:25.517140+00:00
1,backToTable,2024-06-08 04:18:26.966049+00:00
1,insert_6,2024-06-08 04:18:26.971049+00:00
1,insert_search,2024-06-08 04:19:14.098974+00:00
