case:concept:name,concept:name,time:timestamp
1,insertName,2024-06-07 21:34:25.493914+00:00
1,insertCategory,2024-06-07 21:34:43.694516+00:00
1,selectBusinessStrategies,2024-06-07 21:35:20.744132+00:00
1,selectGoals,2024-06-07 21:41:10.760364+00:00
1,clickCreate,2024-06-07 21:41:10.765364+00:00
1,wait the menu,2024-06-07 21:41:17.096909+00:00
1,click on menu,2024-06-07 21:41:17.116706+00:00
1,insertName,2024-06-07 21:41:18.166153+00:00
1,insertCategory,2024-06-07 21:41:33.373972+00:00
1,click,2024-06-07 21:41:33.378972+00:00
1,click_get,2024-06-07 21:48:17.062097+00:00
1,wait,2024-06-07 21:48:25.989012+00:00
1,wait,2024-06-07 21:48:32.180841+00:00
1,check,2024-06-07 21:48:35.361654+00:00
1,info,2024-06-07 21:48:35.641942+00:00
1,selectBusinessStrategies,2024-06-07 21:48:35.646942+00:00
1,insertType,2024-06-07 21:48:39.400261+00:00
1,insertTarget,2024-06-07 21:48:44.524454+00:00
1,clickSaveChanges,2024-06-07 21:48:46.717841+00:00
1,cliclClose,2024-06-07 21:48:53.487745+00:00
1,clickAssignReal,2024-06-07 21:48:56.796463+00:00
1,selectGoals,2024-06-07 21:48:59.277562+00:00
1,selectCheckboxes,2024-06-07 21:49:03.268297+00:00
1,Edit Goals next,2024-06-07 21:49:20.420762+00:00
1,Assign,2024-06-07 21:49:22.719834+00:00
1,backToTable,2024-06-07 21:49:25.356379+00:00
1,selectCheckboxes,2024-06-07 21:49:25.361379+00:00
1,Edit Goals next,2024-06-07 21:49:36.485413+00:00
1,Assign,2024-06-07 21:49:40.511870+00:00
1,backToTable,2024-06-07 21:49:43.579519+00:00
1,clickCreate,2024-06-07 21:49:43.589519+00:00
1,wait the menu,2024-06-07 21:50:21.214310+00:00
1,click on menu,2024-06-07 21:50:53.855442+00:00
1,insertName,2024-06-07 21:50:54.744537+00:00
1,insertCategory,2024-06-07 21:50:59.721795+00:00
1,selectBusinessStrategies,2024-06-07 21:51:03.093857+00:00
1,insertType,2024-06-07 21:51:03.931986+00:00
1,insertTarget,2024-06-07 21:51:04.938946+00:00
1,clickSaveChanges,2024-06-07 21:51:10.783838+00:00
1,cliclClose,2024-06-07 21:51:12.045802+00:00
1,clickAssignReal,2024-06-07 21:51:16.497182+00:00
1,selectGoals,2024-06-07 21:51:18.578569+00:00
1,selectCheckboxes,2024-06-07 21:51:22.581838+00:00
1,Edit Goals next,2024-06-07 21:51:25.796093+00:00
1,insertName,2024-06-07 21:51:25.801093+00:00
1,insertCategory,2024-06-07 21:51:53.318599+00:00
1,selectBusinessStrategies,2024-06-07 21:51:55.291984+00:00
1,click,2024-06-07 21:51:55.296984+00:00
1,click_get,2024-06-07 22:19:17.762867+00:00
1,wait,2024-06-07 22:19:20.024888+00:00
1,wait,2024-06-07 22:19:23.095626+00:00
1,check,2024-06-07 22:19:24.398750+00:00
1,info,2024-06-07 22:19:24.596550+00:00
1,selectGoals,2024-06-07 22:19:24.601550+00:00
1,selectCheckboxes,2024-06-07 22:19:29.267258+00:00
1,Edit Goals next,2024-06-07 22:19:35.867319+00:00
1,Assign,2024-06-07 22:19:37.878218+00:00
1,backToTable,2024-06-07 22:19:39.287251+00:00
1,Assign,2024-06-07 22:19:39.292251+00:00
1,backToTable,2024-06-07 22:19:40.959216+00:00
1,insertName,2024-06-07 22:19:40.969216+00:00
1,click,2024-06-07 22:19:40.974216+00:00
1,click_get,2024-06-07 23:10:06.719351+00:00
1,wait,2024-06-07 23:50:37.024315+00:00
1,wait,2024-06-07 23:50:39.493914+00:00
1,check,2024-06-07 23:50:40.763295+00:00
1,clickCreate,2024-06-07 23:50:40.768295+00:00
1,wait the menu,2024-06-07 23:50:44.071630+00:00
1,click on menu,2024-06-07 23:50:44.093577+00:00
1,insertName,2024-06-07 23:50:44.940547+00:00
1,insertCategory,2024-06-07 23:50:48.748684+00:00
1,selectBusinessStrategies,2024-06-07 23:50:51.633998+00:00
1,insertType,2024-06-07 23:50:52.915298+00:00
1,insertTarget,2024-06-07 23:50:54.490189+00:00
1,clickSaveChanges,2024-06-07 23:50:56.549050+00:00
1,cliclClose,2024-06-07 23:50:57.638432+00:00
1,clickAssignReal,2024-06-07 23:51:00.981997+00:00
1,selectGoals,2024-06-07 23:51:02.348745+00:00
1,selectCheckboxes,2024-06-07 23:51:07.529694+00:00
1,Edit Goals next,2024-06-07 23:51:11.010969+00:00
1,Assign,2024-06-07 23:51:12.074817+00:00
1,backToTable,2024-06-07 23:51:13.359604+00:00
1,info,2024-06-07 23:51:13.364604+00:00
1,insertCategory,2024-06-07 23:51:13.369604+00:00
1,selectBusinessStrategies,2024-06-07 23:53:13.797077+00:00
1,selectGoals,2024-06-07 23:53:22.939914+00:00
1,selectCheckboxes,2024-06-07 23:53:27.374638+00:00
1,Edit Goals next,2024-06-07 23:53:35.907487+00:00
1,Assign,2024-06-07 23:53:38.081483+00:00
1,backToTable,2024-06-07 23:53:41.416914+00:00
1,clickCreate,2024-06-07 23:53:41.426914+00:00
1,wait the menu,2024-06-07 23:53:45.245371+00:00
1,click on menu,2024-06-07 23:53:45.263263+00:00
1,insertName,2024-06-07 23:53:47.195471+00:00
1,insertCategory,2024-06-07 23:56:05.940969+00:00
1,selectBusinessStrategies,2024-06-08 00:06:15.713695+00:00
1,insertType,2024-06-08 00:06:16.771440+00:00
1,insertTarget,2024-06-08 00:06:17.995678+00:00
1,click,2024-06-08 00:06:18.000678+00:00
1,click_get,2024-06-08 00:10:14.245798+00:00
1,wait,2024-06-08 00:10:16.711284+00:00
1,wait,2024-06-08 00:10:19.278421+00:00
1,check,2024-06-08 00:10:24.468222+00:00
1,insertName,2024-06-08 00:10:24.473222+00:00
1,insertCategory,2024-06-08 00:10:37.873915+00:00
1,selectBusinessStrategies,2024-06-08 00:12:49.611781+00:00
1,selectGoals,2024-06-08 00:12:55.958618+00:00
1,selectCheckboxes,2024-06-08 00:12:58.894272+00:00
1,Edit Goals next,2024-06-08 00:13:06.600907+00:00
1,Assign,2024-06-08 00:13:09.094735+00:00
1,backToTable,2024-06-08 00:13:10.543644+00:00
1,info,2024-06-08 00:13:10.548644+00:00
1,clickSaveChanges,2024-06-08 00:13:10.553644+00:00
1,cliclClose,2024-06-08 00:13:12.460529+00:00
1,clickAssignReal,2024-06-08 00:13:37.993162+00:00
1,selectGoals,2024-06-08 00:13:40.705374+00:00
1,selectCheckboxes,2024-06-08 00:13:50.106543+00:00
1,Edit Goals next,2024-06-08 00:13:53.838228+00:00
1,Assign,2024-06-08 00:15:07.029363+00:00
1,backToTable,2024-06-08 00:15:08.697578+00:00
1,click,2024-06-08 00:15:08.707578+00:00
1,click_get,2024-06-08 00:15:46.574323+00:00
1,wait,2024-06-08 00:15:50.787507+00:00
1,wait,2024-06-08 00:15:54.598841+00:00
1,clickCreate,2024-06-08 00:15:54.603841+00:00
1,insertName,2024-06-08 00:15:54.608841+00:00
1,insertCategory,2024-06-08 00:16:22.126347+00:00
1,selectBusinessStrategies,2024-06-08 00:16:24.099732+00:00
1,selectGoals,2024-06-08 00:19:43.651105+00:00
1,selectCheckboxes,2024-06-08 00:19:48.316813+00:00
1,Edit Goals next,2024-06-08 00:19:54.916874+00:00
1,Assign,2024-06-08 00:19:56.927773+00:00
1,backToTable,2024-06-08 00:19:58.336806+00:00
1,wait the menu,2024-06-08 00:19:58.341806+00:00
1,click on menu,2024-06-08 00:19:58.363354+00:00
